code,name,industry,area,market,list_date
000001,平安银行,银行,深圳,主板,19910403
000002,万科A,全国地产,深圳,主板,19910129
000006,深振业A,区域地产,深圳,主板,19920427
000007,全新好,其他商业,深圳,主板,19920413
000008,神州高铁,运输设备,北京,主板,19920507
000009,中国宝安,电气设备,深圳,主板,19910625
00001,长和,,,港股,19721101
000010,*ST美丽,建筑工程,深圳,主板,19951027
000011,深物业A,房产服务,深圳,主板,19920330
000012,南玻A,玻璃,深圳,主板,19920228
000014,沙河股份,全国地产,深圳,主板,19920602
000016,*ST康佳A,家用电器,深圳,主板,19920327
000017,深中华A,服饰,深圳,主板,19920331
000019,深粮控股,农业综合,深圳,主板,19921012
00002,中电控股,,,港股,19800102
000020,深华发A,元器件,深圳,主板,19920428
000021,深科技,元器件,深圳,主板,19940202
000025,特力A,综合类,深圳,主板,19930621
000026,飞亚达,服饰,深圳,主板,19930603
000027,深圳能源,火力发电,深圳,主板,19930903
000028,国药一致,医药商业,深圳,主板,19930809
000029,深深房A,区域地产,深圳,主板,19930915
00003,香港中华煤气,,,港股,19600411
000030,富奥股份,汽车配件,吉林,主板,19930929
000031,大悦城,全国地产,深圳,主板,19931008
000032,深桑达A,建筑工程,深圳,主板,19931028
000034,神州数码,软件服务,深圳,主板,19940509
000035,中国天楹,环境保护,江苏,主板,19940408
000036,华联控股,全国地产,深圳,主板,19940617
000037,深南电A,火力发电,深圳,主板,19940701
000039,中集集团,运输设备,深圳,主板,19940408
00004,九龙仓集团,,,港股,19210101
000042,中洲控股,全国地产,深圳,主板,19940921
000045,深纺织A,元器件,深圳,主板,19940815
000048,京基智农,农业综合,深圳,主板,19941101
000049,德赛电池,电气设备,深圳,主板,19950320
00005,汇丰控股,,,港股,19800102
000050,深天马A,元器件,深圳,主板,19950315
000055,方大集团,其他建材,深圳,主板,19960415
000056,*ST皇庭,其他商业,深圳,主板,19960708
000058,深赛格,商品城,深圳,主板,19961226
000059,华锦股份,石油加工,辽宁,主板,19970130
00006,电能实业,,,港股,19760816
000060,中金岭南,铅锌,深圳,主板,19970123
000061,农产品,农业综合,深圳,主板,19970110
000062,深圳华强,元器件,深圳,主板,19970130
000063,中兴通讯,通信设备,深圳,主板,19971118
000065,北方国际,建筑工程,北京,主板,19980605
000066,中国长城,IT设备,深圳,主板,19970626
000068,华控赛格,环境保护,深圳,主板,19970611
000069,华侨城A,全国地产,深圳,主板,19970910
00007,智富资源投资,,,港股,20000908
000070,特发信息,通信设备,深圳,主板,20000511
000078,ST海王,医药商业,深圳,主板,19981218
00008,电讯盈科,,,港股,19941018
000088,盐田港,港口,深圳,主板,19970728
000089,深圳机场,机场,深圳,主板,19980420
000090,天健集团,建筑工程,深圳,主板,19990721
000096,广聚能源,石油贸易,深圳,主板,20000724
000099,中信海直,空运,深圳,主板,20000731
00010,恒隆集团,,,港股,19721012
000100,TCL科技,元器件,广东,主板,20040130
00012,恒基地产,,,港股,19810723
00013,和黄医药,,,港股,20210630
00014,希慎兴业,,,港股,19810918
000151,中成股份,商贸代理,北京,主板,20000906
000153,丰原药业,化学制药,安徽,主板,20000920
000155,川能动力,新型电力,四川,主板,20000926
000156,华数传媒,影视音像,浙江,主板,20000906
000157,中联重科,工程机械,湖南,主板,20001012
000158,常山北明,软件服务,河北,主板,20000724
000159,国际实业,石油贸易,新疆,主板,20000926
00016,新鸿基地产,,,港股,19720908
000166,申万宏源,证券,新疆,主板,20150126
00017,新世界发展,,,港股,19721123
